序号,BV号,时间,播放量,点赞,投币,分享,收藏,弹幕,评论,APP观看,网页观看,总观看,播赞比,周刊总分,周刊播放,周刊互动,周刊收藏,周刊硬币,周刊点赞,周刊修正A,周刊修正B,周刊修正C,周刊修正D,周刊基础播放,年刊总分,年刊播放,年刊互动,年刊收藏,年刊硬币,年刊点赞,年刊修正A,年刊修正B,年刊修正C
564,BV1Y2oNB1ESs,2026-04-21T22:20:34.742075,579745,83413,67122,16156,45697,2504,9152,,1293,1000,,,,,,,,,,,,,,,,,,,,,
565,BV1Y2oNB1ESs,2026-04-21T22:21:51.155710,580228,83463,67175,16176,45747,2507,9154,,1281,1000,,,,,,,,,,,,,,,,,,,,,
566,BV1Y2oNB1ESs,2026-04-21T22:23:07.621881,580776,83521,67225,16187,45788,2511,9159,,1296,1000,,,,,,,,,,,,,,,,,,,,,
567,BV1Y2oNB1ESs,2026-04-21T22:24:24.179300,581301,83585,67292,16203,45818,2516,9161,,1296,1000,,,,,,,,,,,,,,,,,,,,,
568,BV1Y2oNB1ESs,2026-04-21T22:25:40.648642,581750,83646,67345,16220,45850,2517,9166,,1284,1000,,,,,,,,,,,,,,,,,,,,,
569,BV1Y2oNB1ESs,2026-04-21T22:26:57.104229,582292,83716,67400,16236,45899,2519,9174,,1284,1000,,,,,,,,,,,,,,,,,,,,,
570,BV1Y2oNB1ESs,2026-04-21T22:28:13.582399,582810,83801,67450,16250,45941,2521,9179,,1273,1000,,,,,,,,,,,,,,,,,,,,,
571,BV1Y2oNB1ESs,2026-04-21T22:29:30.106002,583327,83852,67506,16263,45982,2523,9183,,1261,1000,,,,,,,,,,,,,,,,,,,,,
572,BV1Y2oNB1ESs,2026-04-21T22:30:46.580946,583876,83915,67552,16274,46017,2527,9187,,1266,1000,,,,,,,,,,,,,,,,,,,,,
573,BV1Y2oNB1ESs,2026-04-21T22:32:03.087796,584400,83965,67581,16288,46044,2531,9186,,1277,1000,,,,,,,,,,,,,,,,,,,,,
574,BV1Y2oNB1ESs,2026-04-21T22:33:19.540818,584899,84043,67632,16304,46068,2532,9193,,1296,1000,,,,,,,,,,,,,,,,,,,,,
575,BV1Y2oNB1ESs,2026-04-21T22:34:36.035807,585411,84114,67693,16324,46104,2536,9198,,1292,1000,,,,,,,,,,,,,,,,,,,,,
576,BV1Y2oNB1ESs,2026-04-21T22:35:52.467604,585927,84176,67746,16331,46146,2538,9203,,1281,1000,,,,,,,,,,,,,,,,,,,,,
577,BV1Y2oNB1ESs,2026-04-21T22:37:08.987384,586380,84240,67793,16341,46185,2540,9209,,1288,1000,,,,,,,,,,,,,,,,,,,,,
578,BV1Y2oNB1ESs,2026-04-21T22:38:25.575311,586917,84291,67828,16348,46222,2544,9215,,1284,1000,,,,,,,,,,,,,,,,,,,,,
579,BV1Y2oNB1ESs,2026-04-21T22:39:42.077994,587484,84362,67876,16362,46265,2546,9220,,1294,1000,,,,,,,,,,,,,,,,,,,,,
580,BV1Y2oNB1ESs,2026-04-21T22:40:58.579215,587979,84433,67932,16373,46301,2552,9227,,1279,1000,,,,,,,,,,,,,,,,,,,,,
581,BV1Y2oNB1ESs,2026-04-21T22:42:15.057241,588481,84494,67984,16387,46338,2553,9237,,1280,1000,,,,,,,,,,,,,,,,,,,,,
582,BV1Y2oNB1ESs,2026-04-21T22:43:31.483422,588990,84565,68032,16401,46380,2554,9238,,1271,1000,,,,,,,,,,,,,,,,,,,,,
583,BV1Y2oNB1ESs,2026-04-21T22:44:47.943724,589490,84627,68073,16410,46420,2556,9243,,1256,1000,,,,,,,,,,,,,,,,,,,,,
584,BV1Y2oNB1ESs,2026-04-21T22:46:04.466037,590014,84701,68135,16423,46467,2558,9245,,1243,1000,,,,,,,,,,,,,,,,,,,,,
585,BV1Y2oNB1ESs,2026-04-21T22:47:20.937446,590541,84775,68203,16434,46517,2559,9249,,1227,1000,,,,,,,,,,,,,,,,,,,,,
586,BV1Y2oNB1ESs,2026-04-21T22:48:37.409894,591075,84839,68239,16452,46548,2562,9253,,1249,1000,,,,,,,,,,,,,,,,,,,,,
587,BV1Y2oNB1ESs,2026-04-21T22:49:53.897609,591569,84904,68280,16469,46586,2566,9257,,1245,1000,,,,,,,,,,,,,,,,,,,,,
588,BV1Y2oNB1ESs,2026-04-21T22:51:10.356777,592142,84979,68326,16483,46627,2568,9264,,1261,1000,,,,,,,,,,,,,,,,,,,,,
589,BV1Y2oNB1ESs,2026-04-21T22:52:26.878421,592652,85049,68400,16492,46665,2570,9272,,1252,1000,,,,,,,,,,,,,,,,,,,,,
590,BV1Y2oNB1ESs,2026-04-21T22:53:43.376157,593233,85108,68442,16504,46697,2571,9286,,1238,1000,,,,,,,,,,,,,,,,,,,,,
591,BV1Y2oNB1ESs,2026-04-21T22:54:59.815253,593766,85181,68486,16520,46736,2573,9294,,1244,1000,,,,,,,,,,,,,,,,,,,,,
592,BV1Y2oNB1ESs,2026-04-21T22:56:16.341446,594293,85241,68539,16531,46768,2574,9300,,1265,1000,,,,,,,,,,,,,,,,,,,,,
593,BV1Y2oNB1ESs,2026-04-21T22:57:32.791598,594795,85313,68594,16538,46805,2576,9310,,1263,1000,,,,,,,,,,,,,,,,,,,,,
594,BV1Y2oNB1ESs,2026-04-21T22:58:49.300483,595345,85385,68656,16545,46858,2581,9315,,1225,1000,,,,,,,,,,,,,,,,,,,,,
595,BV1Y2oNB1ESs,2026-04-21T23:00:05.790266,595868,85464,68714,16558,46904,2585,9328,,1222,1000,,,,,,,,,,,,,,,,,,,,,
596,BV1Y2oNB1ESs,2026-04-21T23:01:22.249977,596395,85528,68766,16570,46941,2588,9333,,1226,1000,,,,,,,,,,,,,,,,,,,,,
597,BV1Y2oNB1ESs,2026-04-21T23:02:38.700764,596886,85594,68820,16583,46982,2589,9337,,1226,1000,,,,,,,,,,,,,,,,,,,,,
598,BV1Y2oNB1ESs,2026-04-21T23:03:55.231409,597387,85666,68873,16597,47028,2594,9340,,1229,1000,,,,,,,,,,,,,,,,,,,,,
599,BV1Y2oNB1ESs,2026-04-21T23:05:11.720862,597914,85728,68930,16607,47068,2596,9349,,1208,1000,,,,,,,,,,,,,,,,,,,,,
600,BV1Y2oNB1ESs,2026-04-21T23:06:28.235890,598422,85792,68981,16622,47105,2597,9357,,1202,1000,,,,,,,,,,,,,,,,,,,,,
601,BV1Y2oNB1ESs,2026-04-21T23:07:44.714765,598918,85860,69016,16635,47137,2598,9367,,1206,1000,,,,,,,,,,,,,,,,,,,,,
602,BV1Y2oNB1ESs,2026-04-21T23:09:01.214330,599445,85929,69082,16645,47182,2599,9375,,1198,1000,,,,,,,,,,,,,,,,,,,,,
603,BV1Y2oNB1ESs,2026-04-21T23:10:17.719844,599966,85987,69134,16657,47218,2604,9385,,1201,1000,,,,,,,,,,,,,,,,,,,,,
604,BV1Y2oNB1ESs,2026-04-21T23:11:34.250108,600465,86059,69182,16669,47258,2607,9396,,1201,1000,,,,,,,,,,,,,,,,,,,,,
605,BV1Y2oNB1ESs,2026-04-21T23:12:50.666263,600974,86122,69235,16681,47300,2611,9400,,1196,1000,,,,,,,,,,,,,,,,,,,,,
606,BV1Y2oNB1ESs,2026-04-21T23:14:07.102944,601501,86184,69294,16687,47336,2614,9407,,1178,1000,,,,,,,,,,,,,,,,,,,,,
607,BV1Y2oNB1ESs,2026-04-21T23:15:23.590671,602006,86257,69350,16704,47375,2617,9417,,1178,1000,,,,,,,,,,,,,,,,,,,,,
608,BV1Y2oNB1ESs,2026-04-21T23:16:40.081580,602489,86324,69396,16713,47416,2622,9421,,1164,1000,,,,,,,,,,,,,,,,,,,,,
609,BV1Y2oNB1ESs,2026-04-21T23:17:56.590819,602962,86388,69451,16728,47461,2626,9427,,1163,1000,,,,,,,,,,,,,,,,,,,,,
610,BV1Y2oNB1ESs,2026-04-21T23:19:13.072247,603444,86455,69511,16738,47497,2626,9436,,1141,1000,,,,,,,,,,,,,,,,,,,,,
611,BV1Y2oNB1ESs,2026-04-21T23:20:29.644242,603951,86519,69552,16751,47540,2628,9448,,1138,1000,,,,,,,,,,,,,,,,,,,,,
612,BV1Y2oNB1ESs,2026-04-21T23:21:46.200673,604980,86579,69613,16758,47583,2629,9452,,1133,1000,,,,,,,,,,,,,,,,,,,,,
613,BV1Y2oNB1ESs,2026-04-21T23:23:02.684939,605505,86647,69665,16764,47621,2629,9460,,1142,1000,,,,,,,,,,,,,,,,,,,,,
614,BV1Y2oNB1ESs,2026-04-21T23:24:19.162555,606063,86714,69709,16777,47648,2630,9467,,1140,1000,,,,,,,,,,,,,,,,,,,,,
615,BV1Y2oNB1ESs,2026-04-21T23:25:35.617628,606638,86795,69765,16796,47688,2632,9476,,1137,1000,,,,,,,,,,,,,,,,,,,,,
616,BV1Y2oNB1ESs,2026-04-21T23:26:52.101662,607237,86862,69820,16806,47733,2636,9483,,1106,1000,,,,,,,,,,,,,,,,,,,,,
617,BV1Y2oNB1ESs,2026-04-21T23:28:08.538299,607787,86922,69873,16823,47771,2638,9488,,1100,1000,,,,,,,,,,,,,,,,,,,,,
618,BV1Y2oNB1ESs,2026-04-21T23:29:24.903406,608364,86984,69927,16832,47816,2643,9493,,1082,1000,,,,,,,,,,,,,,,,,,,,,
619,BV1Y2oNB1ESs,2026-04-21T23:30:41.317232,608906,87049,69976,16845,47848,2646,9498,,1071,1000,,,,,,,,,,,,,,,,,,,,,
620,BV1Y2oNB1ESs,2026-04-21T23:31:57.672942,609415,87101,70021,16856,47873,2647,9504,,1068,1000,,,,,,,,,,,,,,,,,,,,,
621,BV1Y2oNB1ESs,2026-04-21T23:33:14.056899,609898,87157,70066,16864,47909,2651,9514,,1071,1000,,,,,,,,,,,,,,,,,,,,,
622,BV1Y2oNB1ESs,2026-04-21T23:34:30.616735,610332,87212,70104,16876,47938,2653,9518,,1055,1000,,,,,,,,,,,,,,,,,,,,,
623,BV1Y2oNB1ESs,2026-04-21T23:35:46.991707,610821,87274,70140,16886,47963,2655,9527,,1054,1000,,,,,,,,,,,,,,,,,,,,,
624,BV1Y2oNB1ESs,2026-04-21T23:37:03.350808,611289,87328,70169,16892,47995,2657,9533,,1030,1000,,,,,,,,,,,,,,,,,,,,,
625,BV1Y2oNB1ESs,2026-04-21T23:38:19.770200,611792,87401,70216,16898,48037,2660,9541,,1024,1000,,,,,,,,,,,,,,,,,,,,,
626,BV1Y2oNB1ESs,2026-04-21T23:39:36.127729,612313,87460,70250,16913,48064,2661,9545,,1010,1000,,,,,,,,,,,,,,,,,,,,,
627,BV1Y2oNB1ESs,2026-04-21T23:40:52.676174,612775,87516,70296,16926,48102,2663,9550,,1011,1000,,,,,,,,,,,,,,,,,,,,,
628,BV1Y2oNB1ESs,2026-04-21T23:42:09.019021,613271,87575,70334,16936,48134,2665,9555,14,986,1000,,,,,,,,,,,,,,,,,,,,,
629,BV1Y2oNB1ESs,2026-04-21T23:43:25.456547,613750,87628,70367,16942,48164,2667,9556,22,978,1000,,,,,,,,,,,,,,,,,,,,,
630,BV1Y2oNB1ESs,2026-04-21T23:44:42.211090,614211,87673,70394,16952,48188,2668,9563,27,973,1000,,,,,,,,,,,,,,,,,,,,,
631,BV1Y2oNB1ESs,2026-04-21T23:45:58.238386,614633,87728,70437,16959,48214,2668,9565,40,960,1000,,,,,,,,,,,,,,,,,,,,,
632,BV1Y2oNB1ESs,2026-04-21T23:47:14.729996,615112,87784,70472,16969,48241,2669,9568,43,957,1000,,,,,,,,,,,,,,,,,,,,,
633,BV1Y2oNB1ESs,2026-04-21T23:48:30.588281,615557,87835,70529,16974,48282,2672,9573,57,943,1000,,,,,,,,,,,,,,,,,,,,,
634,BV1Y2oNB1ESs,2026-04-21T23:49:46.413674,615986,87877,70564,16985,48313,2674,9576,57,943,1000,,,,,,,,,,,,,,,,,,,,,
635,BV1Y2oNB1ESs,2026-04-21T23:51:02.870334,616440,87942,70609,16995,48336,2675,9581,50,950,1000,,,,,,,,,,,,,,,,,,,,,
636,BV1Y2oNB1ESs,2026-04-21T23:52:19.162943,616908,88006,70651,17001,48371,2675,9586,66,934,1000,,,,,,,,,,,,,,,,,,,,,
637,BV1Y2oNB1ESs,2026-04-21T23:53:35.613764,617379,88066,70682,17015,48393,2675,9590,88,912,1000,,,,,,,,,,,,,,,,,,,,,
638,BV1Y2oNB1ESs,2026-04-21T23:54:51.455289,617810,88100,70718,17019,48412,2678,9593,83,917,1000,,,,,,,,,,,,,,,,,,,,,
639,BV1Y2oNB1ESs,2026-04-21T23:56:07.797938,618208,88160,70770,17026,48448,2679,9599,73,927,1000,,,,,,,,,,,,,,,,,,,,,
640,BV1Y2oNB1ESs,2026-04-21T23:57:24.119042,618602,88218,70804,17033,48471,2682,9606,90,910,1000,,,,,,,,,,,,,,,,,,,,,
641,BV1Y2oNB1ESs,2026-04-21T23:58:40.484045,619051,88262,70845,17046,48495,2683,9610,103,897,1000,,,,,,,,,,,,,,,,,,,,,
642,BV1Y2oNB1ESs,2026-04-21T23:59:56.891492,619493,88312,70887,17055,48529,2685,9615,124,876,1000,,,,,,,,,,,,,,,,,,,,,
643,BV1Y2oNB1ESs,2026-04-22T00:01:13.299966,619890,88363,70924,17069,48555,2686,9616,126,874,1000,,,,,,,,,,,,,,,,,,,,,
644,BV1Y2oNB1ESs,2026-04-22T00:02:29.729807,620312,88421,70972,17079,48585,2689,9621,134,866,1000,,,,,,,,,,,,,,,,,,,,,
645,BV1Y2oNB1ESs,2026-04-22T00:03:46.198843,620697,88462,70989,17092,48604,2690,9625,147,853,1000,,,,,,,,,,,,,,,,,,,,,
646,BV1Y2oNB1ESs,2026-04-22T00:05:02.669883,621100,88505,71022,17097,48624,2692,9629,162,838,1000,,,,,,,,,,,,,,,,,,,,,
647,BV1Y2oNB1ESs,2026-04-22T00:06:19.103954,621471,88552,71070,17102,48654,2693,9632,159,841,1000,,,,,,,,,,,,,,,,,,,,,
648,BV1Y2oNB1ESs,2026-04-22T00:07:35.532729,621851,88605,71104,17110,48670,2695,9635,174,826,1000,,,,,,,,,,,,,,,,,,,,,
649,BV1Y2oNB1ESs,2026-04-22T00:08:51.907970,622245,88640,71134,17124,48697,2695,9636,160,840,1000,,,,,,,,,,,,,,,,,,,,,
650,BV1Y2oNB1ESs,2026-04-22T00:10:08.272702,622629,88688,71155,17130,48725,2695,9641,162,838,1000,,,,,,,,,,,,,,,,,,,,,
651,BV1Y2oNB1ESs,2026-04-22T00:11:24.708485,622987,88749,71192,17137,48752,2695,9646,176,824,1000,,,,,,,,,,,,,,,,,,,,,
652,BV1Y2oNB1ESs,2026-04-22T00:12:41.099637,623375,88798,71226,17149,48779,2695,9649,175,825,1000,,,,,,,,,,,,,,,,,,,,,
653,BV1Y2oNB1ESs,2026-04-22T00:13:57.470732,623738,88854,71262,17155,48817,2696,9653,181,819,1000,,,,,,,,,,,,,,,,,,,,,
654,BV1Y2oNB1ESs,2026-04-22T00:15:13.854625,624113,88902,71290,17163,48846,2697,9656,192,808,1000,,,,,,,,,,,,,,,,,,,,,
655,BV1Y2oNB1ESs,2026-04-22T00:16:30.264047,624481,88939,71316,17175,48873,2700,9661,187,813,1000,,,,,,,,,,,,,,,,,,,,,
656,BV1Y2oNB1ESs,2026-04-22T00:17:46.630071,624849,88988,71350,17186,48898,2702,9664,178,822,1000,,,,,,,,,,,,,,,,,,,,,
657,BV1Y2oNB1ESs,2026-04-22T00:19:03.088154,625222,89022,71376,17196,48927,2702,9668,194,806,1000,,,,,,,,,,,,,,,,,,,,,
658,BV1Y2oNB1ESs,2026-04-22T00:20:19.525314,625575,89062,71405,17201,48942,2702,9672,196,804,1000,,,,,,,,,,,,,,,,,,,,,
659,BV1Y2oNB1ESs,2026-04-22T00:21:35.956987,625917,89104,71443,17212,48966,2703,9674,200,800,1000,,,,,,,,,,,,,,,,,,,,,
660,BV1Y2oNB1ESs,2026-04-22T00:22:52.339426,626300,89151,71479,17221,48990,2704,9679,221,779,1000,,,,,,,,,,,,,,,,,,,,,
661,BV1Y2oNB1ESs,2026-04-22T00:24:08.780116,626637,89184,71500,17223,49010,2704,9680,217,783,1000,,,,,,,,,,,,,,,,,,,,,
662,BV1Y2oNB1ESs,2026-04-22T00:25:25.124581,626977,89221,71528,17234,49030,2704,9683,221,779,1000,,,,,,,,,,,,,,,,,,,,,
663,BV1Y2oNB1ESs,2026-04-22T00:26:41.573528,627313,89249,71546,17239,49055,2704,9685,219,781,1000,,,,,,,,,,,,,,,,,,,,,
664,BV1Y2oNB1ESs,2026-04-22T00:27:57.985249,627648,89287,71570,17245,49082,2707,9687,244,756,1000,,,,,,,,,,,,,,,,,,,,,
665,BV1Y2oNB1ESs,2026-04-22T00:29:14.395499,627998,89331,71594,17249,49103,2709,9688,248,752,1000,,,,,,,,,,,,,,,,,,,,,
666,BV1Y2oNB1ESs,2026-04-22T00:30:30.814084,628329,89362,71619,17252,49124,2714,9691,259,741,1000,,,,,,,,,,,,,,,,,,,,,
667,BV1Y2oNB1ESs,2026-04-22T00:31:47.269094,628663,89398,71641,17258,49139,2714,9694,269,731,1000,,,,,,,,,,,,,,,,,,,,,
668,BV1Y2oNB1ESs,2026-04-22T00:33:03.747221,629050,89436,71667,17266,49160,2716,9695,282,718,1000,,,,,,,,,,,,,,,,,,,,,
669,BV1Y2oNB1ESs,2026-04-22T00:34:20.179676,629445,89472,71688,17274,49180,2716,9697,308,692,1000,,,,,,,,,,,,,,,,,,,,,
670,BV1Y2oNB1ESs,2026-04-22T00:35:36.576485,629815,89521,71718,17279,49204,2716,9701,297,703,1000,,,,,,,,,,,,,,,,,,,,,
671,BV1Y2oNB1ESs,2026-04-22T00:36:52.968554,630227,89572,71780,17284,49239,2718,9706,324,676,1000,,,,,,,,,,,,,,,,,,,,,
672,BV1Y2oNB1ESs,2026-04-22T00:38:09.422814,630584,89610,71798,17288,49254,2719,9709,327,673,1000,,,,,,,,,,,,,,,,,,,,,
673,BV1Y2oNB1ESs,2026-04-22T00:39:25.820177,630949,89647,71827,17292,49269,2719,9712,333,667,1000,,,,,,,,,,,,,,,,,,,,,
674,BV1Y2oNB1ESs,2026-04-22T00:40:42.176556,631343,89690,71849,17298,49290,2719,9721,356,644,1000,,,,,,,,,,,,,,,,,,,,,
675,BV1Y2oNB1ESs,2026-04-22T00:41:58.634727,631710,89738,71875,17303,49310,2719,9723,359,641,1000,,,,,,,,,,,,,,,,,,,,,
676,BV1Y2oNB1ESs,2026-04-22T00:43:15.115153,632056,89775,71912,17313,49331,2720,9725,363,637,1000,,,,,,,,,,,,,,,,,,,,,
677,BV1Y2oNB1ESs,2026-04-22T00:44:31.562280,632422,89816,71941,17319,49355,2722,9730,346,636,982,,,,,,,,,,,,,,,,,,,,,
678,BV1Y2oNB1ESs,2026-04-22T00:45:48.010876,632798,89844,71963,17321,49366,2723,9732,357,620,977,,,,,,,,,,,,,,,,,,,,,
679,BV1Y2oNB1ESs,2026-04-22T00:47:04.483211,633143,89880,71984,17325,49386,2724,9737,355,620,975,,,,,,,,,,,,,,,,,,,,,
680,BV1Y2oNB1ESs,2026-04-22T00:48:21.040094,633468,89903,71998,17329,49399,2725,9744,336,628,964,,,,,,,,,,,,,,,,,,,,,
681,BV1Y2oNB1ESs,2026-04-22T00:49:37.515529,633751,89927,72015,17331,49422,2726,9748,316,617,933,,,,,,,,,,,,,,,,,,,,,
682,BV1Y2oNB1ESs,2026-04-22T00:50:54.052016,634052,89961,72048,17335,49439,2727,9755,342,603,945,,,,,,,,,,,,,,,,,,,,,
683,BV1Y2oNB1ESs,2026-04-22T00:52:10.592358,634345,89996,72079,17339,49462,2727,9759,328,598,926,,,,,,,,,,,,,,,,,,,,,
684,BV1Y2oNB1ESs,2026-04-22T00:53:27.100141,634635,90031,72102,17348,49482,2728,9762,331,586,917,,,,,,,,,,,,,,,,,,,,,
685,BV1Y2oNB1ESs,2026-04-22T00:54:43.636667,634940,90066,72136,17350,49501,2728,9769,337,581,918,,,,,,,,,,,,,,,,,,,,,
686,BV1Y2oNB1ESs,2026-04-22T00:56:00.154840,635535,90088,72155,17356,49521,2729,9771,327,584,911,,,,,,,,,,,,,,,,,,,,,
687,BV1Y2oNB1ESs,2026-04-22T00:57:16.639175,635799,90118,72168,17364,49538,2729,9774,312,574,886,,,,,,,,,,,,,,,,,,,,,
688,BV1Y2oNB1ESs,2026-04-22T00:58:33.077219,636105,90142,72182,17369,49555,2732,9776,306,577,883,,,,,,,,,,,,,,,,,,,,,
689,BV1Y2oNB1ESs,2026-04-22T00:59:49.612062,636384,90168,72193,17374,49572,2734,9777,283,577,860,,,,,,,,,,,,,,,,,,,,,
690,BV1Y2oNB1ESs,2026-04-22T01:01:05.375994,636648,90195,72200,17383,49584,2734,9778,268,575,843,,,,,,,,,,,,,,,,,,,,,
691,BV1Y2oNB1ESs,2026-04-22T01:02:21.827434,636887,90214,72221,17391,49598,2734,9780,250,571,821,,,,,,,,,,,,,,,,,,,,,
692,BV1Y2oNB1ESs,2026-04-22T01:03:38.325821,637146,90232,72227,17395,49608,2734,9780,274,554,828,,,,,,,,,,,,,,,,,,,,,
693,BV1Y2oNB1ESs,2026-04-22T01:04:54.783202,637410,90260,72248,17399,49624,2734,9783,273,547,820,,,,,,,,,,,,,,,,,,,,,
694,BV1Y2oNB1ESs,2026-04-22T01:06:11.315349,637661,90291,72264,17402,49642,2734,9785,269,545,814,,,,,,,,,,,,,,,,,,,,,
695,BV1Y2oNB1ESs,2026-04-22T01:07:27.014588,637867,90309,72284,17404,49654,2735,9791,256,546,802,,,,,,,,,,,,,,,,,,,,,
696,BV1Y2oNB1ESs,2026-04-22T01:08:43.500870,638106,90332,72302,17410,49666,2735,9795,256,542,798,,,,,,,,,,,,,,,,,,,,,
697,BV1Y2oNB1ESs,2026-04-22T01:10:00.006332,638341,90350,72322,17414,49680,2737,9796,265,536,801,,,,,,,,,,,,,,,,,,,,,
698,BV1Y2oNB1ESs,2026-04-22T01:11:15.601444,638581,90374,72340,17417,49695,2738,9799,263,531,794,,,,,,,,,,,,,,,,,,,,,
699,BV1Y2oNB1ESs,2026-04-22T01:12:32.091670,638827,90400,72352,17420,49708,2740,9800,256,532,788,,,,,,,,,,,,,,,,,,,,,
700,BV1Y2oNB1ESs,2026-04-22T01:13:48.663362,639053,90418,72365,17425,49721,2741,9801,263,524,787,,,,,,,,,,,,,,,,,,,,,
701,BV1Y2oNB1ESs,2026-04-22T01:15:05.107841,639276,90441,72372,17426,49734,2741,9805,246,514,760,,,,,,,,,,,,,,,,,,,,,
702,BV1Y2oNB1ESs,2026-04-22T01:16:21.702439,639489,90458,72382,17426,49746,2741,9808,235,507,742,,,,,,,,,,,,,,,,,,,,,
703,BV1Y2oNB1ESs,2026-04-22T01:17:38.259328,639717,90475,72396,17428,49755,2741,9809,221,508,729,,,,,,,,,,,,,,,,,,,,,
704,BV1Y2oNB1ESs,2026-04-22T01:18:54.877507,639930,90499,72413,17434,49766,2741,9812,236,507,743,,,,,,,,,,,,,,,,,,,,,
705,BV1Y2oNB1ESs,2026-04-22T01:20:11.374703,640173,90528,72432,17440,49778,2743,9813,231,490,721,,,,,,,,,,,,,,,,,,,,,
706,BV1Y2oNB1ESs,2026-04-22T01:21:27.827186,640397,90542,72443,17444,49788,2744,9814,235,490,725,,,,,,,,,,,,,,,,,,,,,
707,BV1Y2oNB1ESs,2026-04-22T01:22:44.286073,640631,90568,72459,17451,49803,2744,9816,218,488,706,,,,,,,,,,,,,,,,,,,,,
708,BV1Y2oNB1ESs,2026-04-22T01:24:00.869371,640847,90582,72477,17452,49809,2745,9817,229,477,706,,,,,,,,,,,,,,,,,,,,,
709,BV1Y2oNB1ESs,2026-04-22T01:25:17.450372,641061,90601,72494,17456,49824,2745,9817,233,487,720,,,,,,,,,,,,,,,,,,,,,
710,BV1Y2oNB1ESs,2026-04-22T01:26:33.938064,641252,90621,72512,17460,49835,2745,9818,235,485,720,,,,,,,,,,,,,,,,,,,,,
711,BV1Y2oNB1ESs,2026-04-22T01:27:50.429346,641482,90641,72532,17465,49846,2745,9820,252,480,732,,,,,,,,,,,,,,,,,,,,,
712,BV1Y2oNB1ESs,2026-04-22T01:29:06.893442,641690,90658,72540,17468,49854,2745,9823,230,473,703,,,,,,,,,,,,,,,,,,,,,
713,BV1Y2oNB1ESs,2026-04-22T01:30:23.413484,641885,90685,72566,17468,49868,2746,9826,239,474,713,,,,,,,,,,,,,,,,,,,,,
714,BV1Y2oNB1ESs,2026-04-22T01:31:39.975613,642095,90705,72576,17472,49874,2746,9826,226,471,697,,,,,,,,,,,,,,,,,,,,,
715,BV1Y2oNB1ESs,2026-04-22T01:32:56.471444,642322,90726,72588,17476,49886,2747,9826,220,463,683,,,,,,,,,,,,,,,,,,,,,
716,BV1Y2oNB1ESs,2026-04-22T01:34:12.939162,642494,90744,72596,17480,49891,2747,9829,218,465,683,,,,,,,,,,,,,,,,,,,,,
717,BV1Y2oNB1ESs,2026-04-22T01:35:29.460586,642673,90758,72612,17481,49901,2747,9829,215,464,679,,,,,,,,,,,,,,,,,,,,,
718,BV1Y2oNB1ESs,2026-04-22T01:36:45.965179,642866,90773,72620,17483,49911,2748,9830,215,445,660,,,,,,,,,,,,,,,,,,,,,
719,BV1Y2oNB1ESs,2026-04-22T01:38:02.493666,643074,90787,72626,17484,49921,2748,9830,219,449,668,,,,,,,,,,,,,,,,,,,,,
720,BV1Y2oNB1ESs,2026-04-22T01:39:19.082057,643257,90805,72635,17485,49931,2748,9830,201,445,646,,,,,,,,,,,,,,,,,,,,,
721,BV1Y2oNB1ESs,2026-04-22T01:40:35.646127,643436,90830,72659,17487,49949,2748,9830,202,437,639,,,,,,,,,,,,,,,,,,,,,
722,BV1Y2oNB1ESs,2026-04-22T01:41:52.120772,643622,90849,72664,17491,49960,2748,9830,209,434,643,,,,,,,,,,,,,,,,,,,,,
723,BV1Y2oNB1ESs,2026-04-22T01:43:08.670378,643799,90870,72673,17493,49973,2748,9830,204,439,643,,,,,,,,,,,,,,,,,,,,,
724,BV1Y2oNB1ESs,2026-04-22T01:44:25.216426,643991,90896,72694,17498,49986,2748,9830,205,436,641,,,,,,,,,,,,,,,,,,,,,
725,BV1Y2oNB1ESs,2026-04-22T01:45:41.801330,644201,90914,72699,17498,49992,2748,9832,222,425,647,,,,,,,,,,,,,,,,,,,,,
726,BV1Y2oNB1ESs,2026-04-22T01:46:58.307223,644344,90940,72717,17503,50007,2748,9834,219,423,642,,,,,,,,,,,,,,,,,,,,,
727,BV1Y2oNB1ESs,2026-04-22T01:48:14.827190,644531,90957,72735,17504,50019,2749,9837,210,418,628,,,,,,,,,,,,,,,,,,,,,
728,BV1Y2oNB1ESs,2026-04-22T01:49:31.339138,644703,90973,72741,17504,50028,2750,9837,192,422,614,,,,,,,,,,,,,,,,,,,,,
729,BV1Y2oNB1ESs,2026-04-22T01:50:47.889571,644863,90986,72753,17506,50039,2751,9838,189,420,609,,,,,,,,,,,,,,,,,,,,,
730,BV1Y2oNB1ESs,2026-04-22T01:52:04.427218,645030,91002,72771,17508,50053,2751,9839,186,414,600,,,,,,,,,,,,,,,,,,,,,
731,BV1Y2oNB1ESs,2026-04-22T01:53:20.918226,645194,91017,72777,17510,50057,2751,9840,193,414,607,,,,,,,,,,,,,,,,,,,,,
732,BV1Y2oNB1ESs,2026-04-22T01:54:37.493093,645371,91029,72791,17512,50066,2751,9840,185,407,592,,,,,,,,,,,,,,,,,,,,,
733,BV1Y2oNB1ESs,2026-04-22T01:55:54.061336,645524,91052,72811,17513,50078,2752,9841,193,409,602,,,,,,,,,,,,,,,,,,,,,
734,BV1Y2oNB1ESs,2026-04-22T01:57:10.633918,645675,91072,72818,17516,50086,2752,9844,194,407,601,,,,,,,,,,,,,,,,,,,,,
